,date,noscent_counter
37,2020-01-27,0
38,2020-02-03,0
39,2020-02-10,0
40,2020-02-17,0
41,2020-02-24,0
42,2020-03-02,0
43,2020-03-09,0
44,2020-03-16,0
45,2020-03-23,0
46,2020-03-30,0
47,2020-04-06,0
48,2020-04-13,0
49,2020-04-20,1
50,2020-04-27,0
51,2020-05-04,0
52,2020-05-11,1
53,2020-05-18,1
54,2020-05-25,2
55,2020-06-01,0
56,2020-06-08,2
57,2020-06-15,0
58,2020-06-22,1
59,2020-06-29,0
60,2020-07-06,0
61,2020-07-13,1
62,2020-07-20,0
63,2020-07-27,0
64,2020-08-03,0
65,2020-08-10,1
66,2020-08-17,0
67,2020-08-24,0
68,2020-08-31,1
69,2020-09-07,0
70,2020-09-14,0
71,2020-09-21,1
72,2020-09-28,2
73,2020-10-05,0
74,2020-10-12,0
75,2020-10-19,2
76,2020-10-26,1
77,2020-11-02,0
78,2020-11-09,3
79,2020-11-16,0
80,2020-11-23,1
81,2020-11-30,1
82,2020-12-07,3
83,2020-12-14,2
84,2020-12-21,3
85,2020-12-28,0
86,2021-01-04,1
87,2021-01-11,2
88,2021-01-18,1
89,2021-01-25,0
90,2021-02-01,0
91,2021-02-08,1
92,2021-02-15,0
93,2021-02-22,2
94,2021-03-01,1
95,2021-03-08,0
96,2021-03-15,0
97,2021-03-22,1
98,2021-03-29,0
99,2021-04-05,0
100,2021-04-12,0
101,2021-04-19,1
102,2021-04-26,0
103,2021-05-03,0
104,2021-05-10,0
105,2021-05-17,0
106,2021-05-24,1
107,2021-05-31,0
108,2021-06-07,0
109,2021-06-14,0
110,2021-06-21,0
111,2021-06-28,0
112,2021-07-05,0
113,2021-07-12,0
114,2021-07-19,0
115,2021-07-26,0
116,2021-08-02,1
117,2021-08-09,0
118,2021-08-16,1
119,2021-08-23,1
120,2021-08-30,0
121,2021-09-06,0
122,2021-09-13,0
123,2021-09-20,0
124,2021-09-27,0
125,2021-10-04,0
126,2021-10-11,0
127,2021-10-18,0
128,2021-10-25,0
129,2021-11-01,1
130,2021-11-08,0
131,2021-11-15,0
132,2021-11-22,1
133,2021-11-29,1
134,2021-12-06,0
135,2021-12-13,1
136,2021-12-20,1
137,2021-12-27,0
